ClavePlan|VersionPlan|ClaveAsignatura|ClaveProfesor|ClaveGrupo|Grupo|DiaSesion|HoraInicio|HoraFin|Edificio|Salon
7232|4|10668|89762|288|LCC|Sábado|08:00|09:30|Edificio A|Cubículo
7232|4|10676|41|288|LCC|Sábado|12:00|13:30|Edificio A|Cubículo
13009|5|10163|181044|880|A|Miércoles|15:00|17:00|Edificio H|H6
13009|5|10163|181044|880|A|Viernes|16:30|18:30|Edificio H|H6
13009|5|10204|89763|286|LM|Lunes|18:00|19:30|Edificio C|C6
13009|5|10204|89763|286|LM|Miércoles|17:30|19:00|Edificio C|C6
13009|5|10204|89763|286|LM|Jueves|17:30|19:00|Edificio C|C6
13009|5|10239|89855|694|LEMOPT|Martes|11:00|13:00|Edificio D|D4
13009|5|10239|89855|694|LEMOPT|Jueves|11:00|13:00|Edificio D|D4
13009|5|10264|181804|694|LEMOPT|Martes|07:30|09:30|Edificio B|CC1
13009|5|10264|181804|694|LEMOPT|Jueves|07:30|09:30|Edificio B|CC1
13009|5|13996|89859|2027|M|Lunes|12:00|14:00|Edificio C|C7
13009|5|13996|89859|2027|M|Martes|10:30|12:30|Edificio C|C7
13009|5|13996|89859|2027|M|Jueves|12:00|14:00|Edificio C|C7
13009|5|15024|89802|286|LM|Miércoles|11:00|14:00|Edificio C|C7
13009|5|15024|89802|286|LM|Viernes|10:30|13:30|Edificio C|C7
13009|5|17036|109891|286|LM|Martes|09:00|10:30|Edificio C|C7
13009|5|17036|109891|286|LM|Miércoles|07:30|09:00|Edificio C|C7
13009|5|17036|109891|286|LM|Viernes|07:30|09:00|Edificio C|C7
13009|5|17038|97528|286|LM|Lunes|12:00|13:30|Edificio C|C9
13009|5|17038|97528|286|LM|Jueves|12:00|13:30|Edificio C|C9
13009|5|17038|97528|286|LM|Viernes|10:30|12:00|Edificio C|C9
13009|5|17040|89849|286|LM|Lunes|13:00|14:30|Edificio C|C6
13009|5|17040|89849|286|LM|Martes|13:30|15:00|Edificio C|C6
13009|5|17040|89849|286|LM|Viernes|13:30|15:00|Edificio C|C6
13009|5|17042|89799|286|LM|Lunes|13:30|15:00|Edificio C|C8
13009|5|17042|89799|286|LM|Jueves|13:30|15:00|Edificio C|C8
13009|5|17042|89799|286|LM|Viernes|13:30|15:00|Edificio C|C8
13009|5|17044|89806|286|LM|Lunes|07:30|09:00|Edificio C|C9
13009|5|17044|89806|286|LM|Martes|09:00|10:30|Edificio C|C9
13009|5|17044|89806|286|LM|Miércoles|07:30|09:00|Edificio C|C9
13009|5|17044|89806|286|LM|Jueves|09:00|10:30|Edificio C|C9
13009|5|17044|89806|286|LM|Viernes|07:30|09:00|Edificio C|C9
13009|5|17046|89809|286|LM|Lunes|16:30|18:00|Edificio C|C6
13009|5|17046|89809|286|LM|Miércoles|14:30|16:00|Edificio C|C6
13009|5|17046|89809|286|LM|Jueves|14:30|16:00|Edificio C|C6
13009|5|17048|89761|286|LM|Lunes|15:00|16:30|Edificio C|C8
13009|5|17048|89761|286|LM|Martes|15:00|16:30|Edificio C|C8
13009|5|17048|89761|286|LM|Jueves|15:00|16:30|Edificio C|C8
13009|5|17049|89825|286|LM|Lunes|09:00|10:30|Edificio B|CC3
13009|5|17049|89825|286|LM|Martes|07:30|09:00|Edificio B|CC3
13009|5|17049|89825|286|LM|Jueves|07:30|09:00|Edificio B|CC3
13009|5|17049|89825|286|LM|Viernes|09:00|10:30|Edificio B|CC3
13009|5|17050|89862|286|LM|Lunes|09:00|10:30|Edificio C|C7
13009|5|17050|89862|286|LM|Jueves|09:00|10:30|Edificio C|C7
13009|5|17050|89862|286|LM|Viernes|09:00|10:30|Edificio C|C7
13009|5|17051|89837|286|LM|Lunes|07:30|09:00|Edificio C|C7
13009|5|17051|89837|286|LM|Martes|07:30|09:00|Edificio C|C7
13009|5|17051|89837|286|LM|Jueves|07:30|09:00|Edificio C|C7
13009|5|17053|89862|286|LM|Lunes|10:30|12:00|Edificio C|C9
13009|5|17053|89862|286|LM|Martes|10:30|12:00|Edificio C|C9
13009|5|17053|89862|286|LM|Jueves|10:30|12:00|Edificio C|C9
13009|5|17055|89837|286|LM|Martes|13:30|15:00|Edificio C|C8
13009|5|17055|89837|286|LM|Miércoles|13:30|15:00|Edificio C|C8
13009|5|17055|89837|286|LM|Viernes|15:00|16:30|Edificio C|C8
13009|5|17057|89810|286|LM|Martes|16:30|18:00|Edificio C|C6
13009|5|17057|89810|286|LM|Miércoles|13:00|14:30|Edificio C|C6
13009|5|17057|89810|286|LM|Jueves|13:00|14:30|Edificio C|C6
13009|5|17060|89830|286|LM|Lunes|14:30|16:30|Edificio C|C6
13009|5|17060|89830|286|LM|Martes|15:00|16:30|Edificio C|C6
13009|5|17060|89830|286|LM|Viernes|15:00|17:00|Edificio C|C6
13009|5|17061|38|286|LM|Sábado|11:00|12:30|Edificio A|Cubículo
13009|5|17062|38|286|LM|Sábado|09:00|10:30|Edificio A|Cubículo
13009|5|18843|89830|1854|EE|Lunes|19:00|20:30|Edificio C|C3
13009|5|18843|89830|1854|EE|Miércoles|19:00|20:30|Edificio C|C3
13009|5|18843|89830|1854|EE|Jueves|19:00|20:30|Edificio C|C3
13009|5|18844|181968|1854|EE|Lunes|17:30|19:00|Edificio C|C3
13009|5|18844|181968|1854|EE|Miércoles|17:30|19:00|Edificio C|C3
13009|5|18844|181968|1854|EE|Jueves|17:30|19:00|Edificio C|C3
13009|5|18845|89760|1854|EE|Martes|17:00|19:00|Edificio C|C3
13009|5|18845|89760|1854|EE|Viernes|17:00|19:00|Edificio C|C3
13009|5|19071|89816|1851|OPT-EE|Martes|15:00|17:00|Edificio C|C3
13009|5|19071|89816|1851|OPT-EE|Jueves|15:00|17:00|Edificio C|C3
13009|5|24179|89869|3237|A|Lunes|14:00|16:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|26991|160986|3237|A|Martes|08:00|10:00|PLATAFORMA UADY-VIRTUAL|Microsoft Teams
13009|5|27205|89761|286|LM|Lunes|13:30|15:00|Edificio C|C9
13009|5|27205|89761|286|LM|Miércoles|13:30|15:00|Edificio C|C9
13009|5|27205|89761|286|LM|Viernes|13:30|15:00|Edificio C|C9
13009|5|28392|89849|286|LM|Martes|12:00|13:30|Edificio C|C9
13009|5|28392|89849|286|LM|Miércoles|15:00|16:30|Edificio C|C9
13009|5|28392|89849|286|LM|Viernes|12:00|13:30|Edificio C|C9
13009|5|28883|180474|3240|D|||||
13009|5|29288|180764|3237|A|Miércoles|13:00|16:00|EN LINEA|EN LINEA
13009|5|29288|180764|3237|A|Viernes|14:30|16:00|EN LINEA|EN LINEA
13009|5|30835|180293|3237|A|Sábado|12:00|16:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|30835|180900|3237|A|Sábado|12:00|16:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|30838|181361|3237|A|Viernes|16:00|19:00|PLATAFORMA UADY-VIRTUAL|Otro
13009|5|30865|181365|3237|A|Lunes|19:00|21:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|30865|181365|3237|A|Miércoles|19:00|21:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|31551|181239|3238|B|Lunes|20:30|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|31551|181239|3238|B|Miércoles|20:30|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|31551|181239|3238|B|Viernes|20:30|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|32088|89868|286|LM|Lunes|10:30|12:00|Edificio C|C7
13009|5|32088|89868|286|LM|Jueves|10:30|12:00|Edificio C|C7
13009|5|32373|180493|3237|A|Martes|11:00|14:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|33416|181612|3237|A|Martes|18:00|21:00|PLATAFORMA UADY-VIRTUAL|Otro
13009|5|34135|181162|3237|A|Lunes|16:00|18:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34135|181162|3237|A|Miércoles|16:00|18:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34153|180460|3237|A|Miércoles|09:00|12:00|PLATAFORMA UADY-VIRTUAL|Otro
13009|5|34157|131733|5775|L|Martes|16:00|18:00|PLATAFORMA UADY-VIRTUAL|Microsoft Teams
13009|5|34157|131733|5775|L|Jueves|16:00|18:00|PLATAFORMA UADY-VIRTUAL|Microsoft Teams
13009|5|34157|181242|3241|E|Martes|16:00|18:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34157|181242|3241|E|Jueves|16:00|18:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34157|181242|4592|F|Martes|16:00|18:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34157|181242|4592|F|Jueves|16:00|18:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34157|181243|3237|A|Martes|17:00|19:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34157|181243|3237|A|Jueves|17:00|19:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34159|181547|3237|A|Lunes|23:15|23:30|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34164|181363|3237|A|Martes|17:00|19:30|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34164|181363|3237|A|Sábado|11:30|14:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34170|181927|5774|K|Martes|09:00|12:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34550|180458|3237|A|Lunes|19:30|21:30|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34550|180458|3237|A|Miércoles|19:30|21:30|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34550|181358|3237|A|Lunes|19:30|21:30|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34550|181358|3237|A|Miércoles|19:30|21:30|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34550|181464|3237|A|Lunes|19:30|21:30|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34550|181464|3237|A|Miércoles|19:30|21:30|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34556|181397|3237|A|Lunes|16:00|18:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34556|181397|3237|A|Miércoles|16:00|18:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34556|181397|3237|A|Viernes|16:00|18:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34577|180923|3237|A|Martes|20:30|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34577|180923|3237|A|Miércoles|20:30|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34577|181396|3237|A|Martes|20:30|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34577|181396|3237|A|Miércoles|20:30|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34584|181731|3237|A|Viernes|18:30|20:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34593|181616|3237|A|Lunes|21:00|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34593|181616|3237|A|Martes|21:00|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34593|181616|3237|A|Miércoles|21:00|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34593|181616|3237|A|Jueves|21:00|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34593|181933|3237|A|Lunes|21:00|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34593|181933|3237|A|Martes|21:00|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34593|181933|3237|A|Miércoles|21:00|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34593|181933|3237|A|Jueves|21:00|22:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34608|181398|3237|A|Lunes|19:00|21:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34608|181398|3237|A|Miércoles|19:00|21:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34608|181810|3237|A|Lunes|19:00|21:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|34608|181810|3237|A|Miércoles|19:00|21:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|35069|180129|3238|B|Jueves|16:00|19:00|PLATAFORMA UADY-VIRTUAL|Otro
13009|5|35070|180276|4592|F|Lunes|00:30|00:45|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|35115|181621|3237|A|Lunes|14:00|16:00|PLATAFORMA UADY-VIRTUAL|Microsoft Teams
13009|5|35115|181621|3237|A|Miércoles|14:00|16:00|PLATAFORMA UADY-VIRTUAL|Microsoft Teams
13009|5|35115|181622|3237|A|Lunes|14:00|16:00|PLATAFORMA UADY-VIRTUAL|Microsoft Teams
13009|5|35115|181622|3237|A|Miércoles|14:00|16:00|PLATAFORMA UADY-VIRTUAL|Microsoft Teams
13009|5|35118|181363|3237|A|Miércoles|09:00|11:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|35133|180417|3238|B|Miércoles|08:30|11:30|PLATAFORMA UADY-VIRTUAL|Microsoft Teams
13009|5|35644|89763|695|LMOPT|Martes|12:00|13:30|Edificio C|C2
13009|5|35644|89763|695|LMOPT|Jueves|13:30|15:00|Edificio C|C2
13009|5|35644|89763|695|LMOPT|Viernes|12:00|13:30|Edificio C|C2
13009|5|35649|119415|682|OPTMAT|Miércoles|16:00|17:30|Edificio C|C2
13009|5|35649|119415|682|OPTMAT|Jueves|16:00|17:30|Edificio B|CC4
13009|5|35650|89831|682|OPTMAT|Lunes|16:30|18:00|Edificio C|C8
13009|5|35650|89831|682|OPTMAT|Martes|16:30|18:00|Edificio C|C8
13009|5|35650|89831|682|OPTMAT|Jueves|16:30|18:00|Edificio C|C8
13009|5|35660|178704|3237|A|Martes|10:00|12:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|35660|181935|3237|A|Martes|10:00|12:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|35664|92859|3237|A|Martes|08:00|12:00|EN LINEA|EN LINEA
13009|5|35679|181253|3237|A|Martes|11:00|13:00|PLATAFORMA UADY-VIRTUAL|Microsoft Teams
13009|5|35679|181253|3237|A|Jueves|11:00|13:00|PLATAFORMA UADY-VIRTUAL|Microsoft Teams
13009|5|35684|181938|3238|B|Domingo|03:30|03:45|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|35685|181527|3238|B|Domingo|01:30|01:45|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|35699|181367|3237|A|Sábado|12:00|15:00|PLATAFORMA UADY-VIRTUAL|PLATAFORMA UADY-VIRTUAL
13009|5|35759|89803|3787|LIBRE|Sábado|08:00|09:00|Edificio E|Cubículo
13009|5|35810|89866|681|OPTCOMP|Lunes|18:00|19:30|Edificio B|CC1
13009|5|35810|89866|681|OPTCOMP|Martes|18:00|19:30|Edificio B|CC1
13009|5|35810|89866|681|OPTCOMP|Jueves|18:00|19:30|Edificio B|CC1
13009|5|35811|89865|694|LEMOPT|Lunes|17:00|18:30|Edificio D|D4
13009|5|35811|89865|694|LEMOPT|Martes|16:30|18:00|Edificio D|D4
13009|5|35811|89865|694|LEMOPT|Jueves|15:00|17:00|Edificio D|D4
13009|5|35812|131553|694|LEMOPT|Miércoles|11:30|13:30|Edificio C|C4
13009|5|35812|131553|694|LEMOPT|Jueves|11:30|13:30|Edificio C|C4
13009|5|35817|89863|694|LEMOPT|Lunes|09:30|11:00|Edificio C|C6
13009|5|35817|89863|694|LEMOPT|Martes|09:30|11:00|Edificio C|C6
13009|5|35817|89863|694|LEMOPT|Jueves|09:30|11:00|Edificio C|C6
13009|5|35953|89818|3787|LIBRE|Sábado|16:00|18:00|Edificio A|Cubículo
13009|5|35972|89818|1751|MOV|Sábado|08:00|09:30|Edificio A|Cubículo
13009|5|36004|128086|1852|OPT-MCM|Lunes|11:00|13:00|Edificio C|C3
13009|5|36004|128086|1852|OPT-MCM|Miércoles|11:00|13:00|Edificio C|C3
13009|5|36005|95420|1852|OPT-MCM|Lunes|18:00|20:00|Edificio C|C1
13009|5|36005|95420|1852|OPT-MCM|Miércoles|18:00|20:00|Edificio C|C1
21134|3|19979|89859|290|LIC|Lunes|07:30|09:00|Edificio C|C10
21134|3|19979|89859|290|LIC|Viernes|10:30|12:00|Edificio C|C10
21134|3|19979|89859|309|LA A|Martes|07:30|09:00|Edificio H|H6
21134|3|19979|89859|309|LA A|Viernes|07:30|09:00|Edificio H|H6
21134|3|19985|89842|290|LIC|Martes|12:00|14:00|Edificio C|C10
21134|3|19985|89842|290|LIC|Jueves|11:00|13:00|Edificio C|C10
21134|3|19985|89842|6095|Acomp LIC|Martes|12:00|14:00|Edificio C|C10
21134|3|19985|89842|6095|Acomp LIC|Jueves|11:00|13:00|Edificio C|C10
21134|3|19988|89838|309|LA A|Martes|11:00|13:00|Edificio H|H6
21134|3|19988|89838|309|LA A|Viernes|10:30|12:30|Edificio H|H6
21134|3|19988|89865|290|LIC|Lunes|12:00|14:00|Edificio C|C10
21134|3|19988|89865|290|LIC|Jueves|09:00|11:00|Edificio C|C10
21134|3|19988|89865|6095|Acomp LIC|Lunes|12:00|14:00|Edificio C|C10
21134|3|19988|89865|6095|Acomp LIC|Jueves|09:00|11:00|Edificio C|C10
21134|3|20006|181804|287|LEM|Martes|07:30|09:30|Edificio B|CC1
21134|3|20006|181804|287|LEM|Jueves|07:30|09:30|Edificio B|CC1
21134|3|20127|131650|288|LCC|Lunes|07:30|09:00|Edificio H|H4
21134|3|20127|131650|288|LCC|Miércoles|07:30|09:00|Edificio H|H4
21134|3|20127|131650|288|LCC|Viernes|07:30|09:00|Edificio H|H4
21134|3|20129|89855|6095|Acomp LIC|Miércoles|15:00|17:30|Edificio H|H8
21134|3|20130|40|290|LIC|Martes|10:30|12:00|Edificio C|C1
21134|3|20130|40|290|LIC|Jueves|12:30|14:00|Edificio C|C1
21134|3|20130|40|290|LIC|Viernes|08:00|09:30|Edificio C|C1
21134|3|20131|40|6095|Acomp LIC|Lunes|09:00|11:30|Edificio A|SM A
21134|3|20132|89856|290|LIC|Lunes|16:30|18:00|Edificio C|C1
21134|3|20132|89856|290|LIC|Martes|13:30|15:00|Edificio C|C2
21134|3|20132|89856|290|LIC|Miércoles|16:30|18:00|Edificio C|C2
21134|3|20134|151622|290|LIC|Martes|07:30|09:00|Edificio C|C1
21134|3|20134|151622|290|LIC|Miércoles|07:30|09:00|Edificio C|C1
21134|3|20134|151622|290|LIC|Viernes|11:00|12:30|Edificio C|C1
21134|3|20135|89770|6095|Acomp LIC|Miércoles|11:00|13:30|Edificio C|C2
21134|3|20136|95420|290|LIC|Lunes|09:30|11:00|Edificio B|CC1
21134|3|20136|95420|290|LIC|Jueves|09:30|11:00|Edificio B|CC1
21134|3|20136|95420|290|LIC|Viernes|09:30|11:00|Edificio B|CC1
21134|3|20137|89753|290|LIC|Lunes|08:00|09:30|Edificio C|C1
21134|3|20137|89753|290|LIC|Miércoles|11:00|12:30|Edificio C|C1
21134|3|20137|89753|290|LIC|Jueves|08:00|09:30|Edificio C|C1
21134|3|20139|89805|290|LIC|Lunes|13:30|15:00|Edificio LAB|Lab. Electrónica
21134|3|20139|89805|290|LIC|Miércoles|15:00|16:30|Edificio LAB|Lab. Electrónica
21134|3|20139|89805|290|LIC|Viernes|13:30|15:00|Edificio LAB|Lab. Electrónica
21134|3|20141|89836|6095|Acomp LIC|Viernes|08:30|11:00|Edificio B|CC2
21134|3|20142|131554|290|LIC|Lunes|15:00|16:30|Edificio LAB|Lab. Electrónica
21134|3|20142|131554|290|LIC|Martes|15:00|16:30|Edificio LAB|Lab. Electrónica
21134|3|20142|131554|290|LIC|Jueves|15:00|16:30|Edificio LAB|Lab. Electrónica
21134|3|20144|89860|290|LIC|Lunes|16:30|18:00|Edificio B|CC1
21134|3|20144|89860|290|LIC|Martes|16:30|18:00|Edificio B|CC1
21134|3|20144|89860|290|LIC|Jueves|16:30|18:00|Edificio B|CC1
21134|3|20146|131554|290|LIC|Lunes|09:00|12:00|Edificio LAB|Robotica
21134|3|20146|131554|290|LIC|Martes|09:00|12:00|Edificio LAB|Robotica
21134|3|20146|131554|6095|Acomp LIC|Lunes|09:00|12:00|Edificio LAB|Robotica
21134|3|20146|131554|6095|Acomp LIC|Martes|09:00|12:00|Edificio LAB|Robotica
21134|3|20154|89802|290|LIC|Lunes|15:00|16:30|Edificio C|C4
21134|3|20154|89802|290|LIC|Miércoles|15:00|16:30|Edificio C|C4
21134|3|20155|95116|290|LIC|Martes|07:30|09:00|Edificio B|CC8
21134|3|20155|95116|290|LIC|Jueves|07:30|09:00|Edificio B|CC8
21134|3|20155|95116|290|LIC|Viernes|09:00|10:30|Edificio B|CC8
21134|3|20155|95116|6095|Acomp LIC|Martes|07:30|09:00|Edificio B|CC8
21134|3|20155|95116|6095|Acomp LIC|Jueves|07:30|09:00|Edificio B|CC8
21134|3|20155|95116|6095|Acomp LIC|Viernes|09:00|10:30|Edificio B|CC8
21134|3|20156|89868|6095|Acomp LIC|Martes|16:30|19:00|Edificio B|CC2
21134|3|20157|89825|290|LIC|Lunes|11:00|12:30|Edificio B|CC3
21134|3|20157|89825|290|LIC|Martes|09:00|10:30|Edificio B|CC3
21134|3|20157|89825|290|LIC|Jueves|11:00|12:30|Edificio B|CC3
21134|3|20158|180932|6095|Acomp LIC|Viernes|10:00|12:30|Edificio B|CC4
21134|3|20160|128656|290|LIC|Lunes|13:30|15:00|Edificio LAB|Redes
21134|3|20160|128656|290|LIC|Miércoles|13:30|15:00|Edificio LAB|Redes
21134|3|20160|128656|290|LIC|Viernes|13:30|15:00|Edificio LAB|Redes
21134|3|20161|89815|6095|Acomp LIC|Martes|10:00|12:30|Edificio B|CC5
21134|3|20162|131554|290|LIC|Martes|16:30|18:00|Edificio B|CC3
21134|3|20162|131554|290|LIC|Jueves|16:30|18:00|Edificio B|CC3
21134|3|20162|131554|290|LIC|Miércoles|18:00|19:30|Edificio B|CC1
21134|3|20163|89860|290|LIC|Lunes|15:00|16:30|Edificio LAB|Robotica
21134|3|20163|89860|290|LIC|Martes|13:30|15:00|Edificio LAB|Lab. Electrónica
21134|3|20163|89860|290|LIC|Jueves|13:30|15:00|Edificio LAB|Lab. Electrónica
21134|3|20164|89860|6095|Acomp LIC|Miércoles|10:00|12:30|Edificio LAB|Lab. Electrónica
21134|3|20165|89860|290|LIC|Martes|15:00|16:30|Edificio LAB|Redes
21134|3|20165|89860|290|LIC|Jueves|15:00|16:30|Edificio LAB|Redes
21134|3|20165|89860|290|LIC|Viernes|15:00|16:30|Edificio LAB|Redes
21134|3|20875|89836|290|LIC|Sábado|09:00|10:30|Edificio A|Cubículo
21134|3|20876|89836|290|LIC|Sábado|11:00|12:30|Edificio A|Cubículo
21134|3|26991|160986|3238|B|Lunes|08:00|10:00|PLATAFORMA UADY-VIRTUAL|Microsoft Teams
21134|3|27223|89836|681|OPTCOMP|Martes|11:30|13:30|Edificio B|CC7
21134|3|27223|89836|681|OPTCOMP|Jueves|11:30|13:30|Edificio B|CC7
21134|3|28866|89866|881|B|Martes|10:00|11:00|Edificio E|Cubículo
21134|3|28866|89866|881|B|Viernes|10:00|11:00|Edificio E|Cubículo
21134|3|28866|131554|880|A|Jueves|09:00|11:30|Edificio E|Cubículo
