Matricula|ClavePlan|VersionPlan|ClaveAsignatura|ClaveProfesor|ClaveGrupo|Grupo
20216413|18317|1|18858|89866|880|A
11003982|18317|1|18858|181805|881|B
11003982|18317|1|18858|151622|881|B
20216412|18317|1|18858|89834|882|C
11001499|18317|1|18858|151622|883|D
11001499|18317|1|18858|128656|883|D
88002728|18317|1|18858|89834|885|F
12014880|18317|1|18858|89804|888|G
12014880|18317|1|18858|89825|888|G
15216773|18317|1|18858|121436|1961|H
15216773|18317|1|18858|89828|1961|H
12001601|18317|1|18858|89825|1962|I
12001601|18317|1|18858|95420|1962|I
12001195|75722|3|32610|89810|1852|OPT-MCM
17016293|75722|3|32610|89810|1852|OPT-MCM
12001195|75722|3|32611|95420|1852|OPT-MCM
17016293|75722|3|32612|128086|1852|OPT-MCM
12001195|75722|3|32612|128086|1852|OPT-MCM
17016293|75722|3|32613|89838|1852|OPT-MCM
12001195|75722|3|33011|89753|1855|MCM
17016293|75722|3|33011|89753|1855|MCM
11001313|75722|3|34517|181745|1852|OPT-MCM
14016361|75722|3|33152|89799|1852|OPT-MCM
12001296|75722|3|33150|89765|1852|OPT-MCM
06001068|75722|3|33150|89765|1852|OPT-MCM
12000891|75722|3|34520|89760|1852|OPT-MCM
12001296|75722|3|34520|89760|1852|OPT-MCM
06001068|75722|3|34520|89760|1852|OPT-MCM
12000891|75722|3|34519|89830|1852|OPT-MCM
09003803|75722|3|34522|131650|1852|OPT-MCM
09003803|75722|3|34521|109891|1852|OPT-MCM
11001313|75722|3|32607|89862|880|A
11001313|75722|3|32607|181745|880|A
13003252|75722|3|32607|89838|881|B
13003252|75722|3|32607|168856|881|B
14016361|75722|3|32607|180803|882|C
14016361|75722|3|32607|89799|882|C
12001296|75722|3|32607|128086|883|D
12001296|75722|3|32607|89765|883|D
06001068|75722|3|32607|89760|884|E
06001068|75722|3|32607|128086|884|E
12000891|75722|3|32607|94534|885|F
12000891|75722|3|32607|89830|885|F
09003803|75722|3|32607|131650|888|G
09003803|75722|3|32607|109891|888|G
12216410|75722|3|32607|181807|1961|H
12216410|75722|3|32607|89809|1961|H
12216410|75722|3|35606|181807|1852|OPT-MCM
12216410|75722|3|35605|89809|1852|OPT-MCM
12216410|75722|3|35604|89809|1852|OPT-MCM
12216410|75722|3|35604|181807|1852|OPT-MCM
14016361|75722|3|35603|180803|1852|OPT-MCM
13003252|75722|3|35602|168856|1852|OPT-MCM
11001313|75722|3|35601|89838|1852|OPT-MCM
13003252|75722|3|35601|89838|1852|OPT-MCM
12000891|75722|3|33149|128086|5998|Acomp
